dist_code,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport
21_2,2019-06-01,5365,1275,16,10,5110,559,237,216,544,5688,771,197,6483,183,5912,754
19_1,2019-06-01,1384,243,0,2,1352,105,93,0,79,1399,186,44,1599,30,1469,160
22_2,2019-06-01,2865,989,2,2,2750,259,273,248,328,3250,522,84,3740,118,3283,575
21_5,2019-06-01,1746,521,0,2,1707,74,104,134,250,2046,174,49,2227,42,1923,346
22_1,2019-06-01,4476,1114,4,54,4317,428,283,274,346,4840,671,133,5456,192,5037,611
18_1,2019-06-01,5427,1001,10,28,5212,509,243,223,279,5639,705,120,6332,134,5954,512
17_1,2019-06-01,1908,548,4,2,1868,122,181,76,215,2117,295,48,2375,87,2072,390
15_1,2019-06-01,19367,3656,95,35,16711,4376,0,21,2045,17798,4327,984,21387,1766,21210,1943
15_2,2019-06-01,20110,3961,60,39,18033,3964,0,22,2151,19435,3715,964,22619,1551,22151,2019
16_1,2019-06-01,28578,3210,58,1696,25563,4018,1640,0,2321,27197,5388,935,31319,2223,29698,3844
14_4,2019-06-01,1517,460,0,0,1470,96,114,153,144,1739,210,20,1938,39,1733,244
20_1,2019-06-01,2950,816,8,18,2793,344,148,130,377,3195,463,114,3693,99,3299,493
19_4,2019-06-01,741,174,0,0,723,34,72,4,82,791,116,6,903,12,761,154
17_2,2019-06-01,5119,1386,35,5,4735,783,388,84,555,5207,1125,189,6236,309,5632,913
23_2,2019-06-01,3432,1055,0,0,3360,215,102,381,429,4060,285,136,4370,117,3971,516
19_3,2019-06-01,1892,604,0,8,1801,172,177,53,301,2081,353,68,2447,57,2040,464
23_1,2019-06-01,4514,1163,2,30,4364,346,172,337,490,5099,531,77,5572,137,5071,638
18_2,2019-06-01,2783,468,8,2,2722,132,124,71,212,2945,273,41,3173,88,2935,326
20_3,2019-06-01,1493,293,0,0,1454,87,30,42,173,1656,109,21,1751,35,1589,197
21_3,2019-06-01,1381,342,0,0,1367,68,71,105,112,1534,140,49,1679,44,1549,174
14_1,2019-06-01,3619,897,6,0,3534,252,281,93,362,3877,520,117,4403,119,3897,625
17_3,2019-06-01,3279,699,6,4,3217,215,119,185,252,3599,307,80,3846,142,3646,342
21_7,2019-06-01,1571,637,0,0,1522,97,114,351,124,1964,209,33,2174,34,1980,228
19_2,2019-06-01,1705,394,2,10,1646,131,81,95,158,1850,203,58,2076,35,1879,232
20_2,2019-06-01,3173,697,0,0,3080,219,78,262,231,3512,281,73,3809,61,3573,297
14_2,2019-06-01,1751,220,0,0,1725,54,37,46,109,1866,92,13,1920,51,1829,142
20_4,2019-06-01,2070,511,8,2,1998,183,68,167,175,2305,232,54,2530,61,2352,239
15_3,2019-06-01,3203,830,2,4,3100,310,412,66,151,3271,695,73,3890,149,3484,555
14_3,2019-06-01,1818,515,0,0,1784,94,88,152,215,2119,189,23,2306,27,2038,295
20_2,2019-07-01,2997,461,0,2,2958,92,113,134,163,3203,211,44,3351,109,3203,257
19_3,2019-07-01,1615,419,10,10,1558,123,142,28,203,1743,264,45,1992,62,1715,339
15_3,2019-07-01,3027,865,4,4,2950,233,507,50,160,3115,734,51,3746,154,3245,655
20_4,2019-07-01,1649,370,0,5,1589,113,80,97,145,1798,204,22,1959,65,1807,217
14_2,2019-07-01,1861,165,2,0,1851,47,33,34,63,1944,68,16,1995,33,1937,91
19_2,2019-07-01,1431,278,0,9,1381,105,93,44,95,1495,194,29,1680,38,1540,178
18_2,2019-07-01,2144,354,0,4,2087,108,85,67,155,2275,203,22,2450,52,2268,234
17_3,2019-07-01,2781,525,0,2,2723,179,141,95,170,2960,306,42,3206,102,3011,297
14_1,2019-07-01,3578,716,2,0,3472,232,275,60,257,3721,495,80,4182,114,3783,513
21_7,2019-07-01,1581,490,1,0,1537,77,104,238,116,1884,183,4,2028,44,1858,214
21_3,2019-07-01,1318,247,0,2,1291,59,79,56,82,1401,148,18,1533,34,1412,155
20_3,2019-07-01,1230,224,0,0,1214,49,59,13,119,1333,109,11,1408,46,1282,172
23_1,2019-07-01,4398,956,2,71,4268,269,268,152,470,4795,545,85,5260,167,4711,716
14_3,2019-07-01,1970,482,0,0,1938,110,72,87,245,2246,173,32,2413,39,2147,305
23_2,2019-07-01,3144,803,0,2,3059,196,117,229,348,3565,298,77,3833,116,3490,459
20_1,2019-07-01,2745,528,0,25,2632,261,135,57,213,2848,373,77,3164,134,2958,340
23_3,2019-07-01,2363,437,0,72,2286,187,137,37,225,2512,312,48,2805,67,2527,345
14_4,2019-07-01,1524,318,0,0,1495,80,54,72,141,1687,135,18,1790,52,1667,175
16_1,2019-07-01,26435,2937,79,2326,24328,3561,2287,2,1599,25250,5829,688,29401,2376,27989,3788
15_2,2019-07-01,19433,3484,155,53,17691,3186,0,16,2232,19041,3411,653,21570,1555,20981,2144
17_2,2019-07-01,4687,1186,42,5,4386,619,433,31,451,4781,1011,126,5598,322,5069,851
17_1,2019-07-01,1550,414,0,0,1500,113,177,51,123,1665,272,27,1918,46,1666,298
18_1,2019-07-01,4391,782,10,24,4236,340,277,97,257,4543,604,58,5075,132,4683,524
15_1,2019-07-01,18266,3038,72,39,15846,3762,0,10,1797,16907,3729,741,19700,1715,19726,1689
22_1,2019-07-01,4114,714,0,41,3999,273,263,91,241,4278,522,69,4666,203,4379,490
21_5,2019-07-01,1664,436,0,0,1643,53,113,29,262,1885,174,41,2054,46,1729,371
22_2,2019-07-01,2767,650,0,2,2667,215,275,113,149,2908,466,43,3295,124,3001,418
19_1,2019-07-01,1264,197,0,9,1230,84,72,10,74,1299,151,20,1455,15,1328,142
21_2,2019-07-01,4805,929,2,10,4592,398,279,156,321,4987,674,85,5546,200,5171,575
19_4,2019-07-01,717,145,2,0,703,35,70,2,54,742,109,10,852,12,742,122
23_1,2019-08-01,3821,809,5,58,3661,314,227,117,374,4093,543,57,4530,163,4107,586
19_3,2019-08-01,1730,458,2,8,1641,178,195,14,170,1759,373,66,2126,72,1837,361
15_3,2019-08-01,2593,900,4,0,2501,273,504,40,179,2680,774,43,3377,120,2827,670
20_4,2019-08-01,1895,385,2,2,1820,170,107,31,156,1957,271,56,2217,67,2027,257
14_2,2019-08-01,1660,185,2,0,1643,59,25,55,65,1757,79,11,1807,40,1763,84
17_3,2019-08-01,2614,469,4,2,2521,230,107,43,188,2738,321,30,2956,133,2811,278
14_3,2019-08-01,1780,466,0,0,1744,94,102,108,198,2013,193,38,2214,32,1961,285
14_1,2019-08-01,3171,771,4,0,3075,275,282,46,268,3331,566,49,3842,104,3412,534
21_7,2019-08-01,1290,323,2,0,1252,106,80,84,93,1414,176,25,1569,46,1446,169
21_3,2019-08-01,1313,248,0,4,1290,76,69,28,102,1406,134,25,1535,30,1408,157
23_2,2019-08-01,2617,524,0,2,2525,196,110,93,219,2782,284,75,3052,91,2828,315
20_2,2019-08-01,2331,399,2,0,2254,170,92,76,140,2446,248,38,2658,74,2508,224
20_1,2019-08-01,3117,653,1,18,2967,361,174,62,225,3212,494,83,3658,131,3398,391
19_4,2019-08-01,573,176,2,0,575,16,77,2,81,646,89,16,739,12,597,154
21_2,2019-08-01,5021,861,6,6,4775,530,229,58,302,5059,716,119,5671,223,5382,512
19_1,2019-08-01,1137,209,1,4,1103,89,71,6,82,1181,145,25,1330,21,1203,148
22_2,2019-08-01,2149,558,0,2,2018,248,226,40,177,2205,457,47,2614,95,2310,399
21_5,2019-08-01,1294,354,2,0,1269,52,139,20,170,1428,202,18,1616,34,1348,302
22_1,2019-08-01,3622,791,0,77,3463,362,343,77,245,3731,673,85,4346,144,3912,578
20_3,2019-08-01,1320,218,0,0,1287,78,58,23,92,1388,134,16,1500,38,1388,150
18_1,2019-08-01,4110,712,0,40,3926,396,271,38,231,4137,643,82,4716,146,4378,484
17_1,2019-08-01,1538,405,0,4,1473,143,158,25,148,1629,290,28,1839,108,1654,293
17_2,2019-08-01,4576,1341,18,10,4154,869,439,18,465,4505,1263,173,5593,352,5084,861
15_2,2019-08-01,19772,3728,48,59,17602,4008,0,16,1981,18938,3935,728,21898,1709,21725,1882
16_1,2019-08-01,26643,2880,79,2086,24285,3870,2041,2,1490,25215,5740,717,29328,2360,28247,3441
14_4,2019-08-01,1386,275,0,0,1351,68,69,60,113,1499,147,15,1636,25,1485,176
15_1,2019-08-01,18269,3446,68,34,15533,4084,0,14,2186,16802,4216,781,20159,1658,19721,2096
23_3,2019-08-01,1909,462,2,347,1825,207,421,30,237,2044,650,26,2655,65,2074,646
18_2,2019-08-01,2267,255,2,0,2192,140,84,25,83,2284,220,20,2429,95,2363,161
19_2,2019-08-01,1269,264,0,20,1213,106,92,30,112,1328,199,24,1530,23,1351,202
20_3,2019-09-01,1163,289,0,2,1132,76,43,60,143,1312,123,19,1410,44,1272,182
18_2,2019-09-01,1886,379,4,4,1822,122,96,92,141,2011,218,44,2216,57,2038,235
14_4,2019-09-01,1043,288,0,0,1020,52,80,93,86,1190,133,8,1282,49,1167,164
16_1,2019-09-01,20236,2476,65,1636,17395,3120,1614,0,2284,19205,4621,579,22331,2082,20602,3811
15_2,2019-09-01,14393,2994,43,22,12625,3217,0,12,1598,13726,3163,561,15974,1478,15949,1503
17_2,2019-09-01,3798,1030,7,17,3419,676,331,44,382,3758,980,114,4538,314,4167,685
17_1,2019-09-01,1314,408,2,0,1285,66,176,46,151,1466,242,16,1666,58,1405,319
18_1,2019-09-01,3538,715,8,39,3408,286,236,112,258,3714,514,72,4188,112,3838,462
19_4,2019-09-01,479,148,0,0,465,20,86,5,51,515,104,8,607,20,490,137
22_1,2019-09-01,2926,706,4,63,2789,315,271,77,247,3048,596,55,3537,162,3198,501
21_5,2019-09-01,1057,305,0,0,1030,53,110,47,122,1166,171,25,1332,30,1132,230
22_2,2019-09-01,1772,496,0,2,1672,178,190,47,183,1852,377,39,2165,105,1903,367
19_1,2019-09-01,944,219,0,9,910,60,83,14,105,1012,149,11,1157,15,993,179
21_2,2019-09-01,3860,853,2,4,3651,388,262,122,296,4000,661,58,4517,202,4174,545
23_3,2019-09-01,1424,458,0,364,1368,167,426,72,213,1612,607,27,2176,70,1623,623
15_1,2019-09-01,14807,2829,152,35,11564,3600,0,12,2647,13431,3777,604,16297,1526,15276,2547
23_2,2019-09-01,2608,622,0,2,2531,181,129,130,261,2838,326,68,3146,86,2848,384
20_1,2019-09-01,2088,632,0,26,1957,275,185,150,179,2233,448,61,2643,103,2389,357
21_7,2019-09-01,1281,311,0,0,1265,51,63,119,94,1443,125,20,1522,70,1437,155
14_1,2019-09-01,2332,652,0,2,2225,249,208,58,246,2458,475,53,2882,104,2547,439
17_3,2019-09-01,2343,510,2,2,2260,198,114,98,187,2510,302,45,2704,153,2569,288
14_3,2019-09-01,1246,483,0,2,1211,103,84,122,211,1510,204,17,1669,62,1451,280
19_2,2019-09-01,1084,285,0,22,1038,100,87,65,101,1178,191,22,1359,32,1211,180
21_3,2019-09-01,1117,257,0,0,1094,53,62,81,84,1238,124,12,1344,30,1234,140
20_2,2019-09-01,2024,333,0,0,1939,121,68,138,91,2150,191,14,2285,72,2201,156
14_2,2019-09-01,1343,189,0,0,1329,38,28,56,81,1452,71,9,1486,46,1431,101
20_4,2019-09-01,1140,383,2,4,1082,129,79,95,144,1283,206,40,1467,62,1309,220
15_3,2019-09-01,2271,866,8,2,2184,215,492,77,179,2381,718,48,3020,127,2486,661
19_3,2019-09-01,1298,389,0,2,1244,102,154,27,162,1401,263,25,1642,47,1378,311
23_1,2019-09-01,2533,760,4,44,2416,229,216,106,374,2826,456,59,3230,111,2767,574
21_2,2019-10-01,9025,1586,6,6,8524,940,297,345,517,9255,1237,131,10333,290,9831,792
19_1,2019-10-01,2742,514,0,4,2632,214,129,38,247,2891,317,52,3210,50,2890,370
22_2,2019-10-01,4662,1041,2,2,4411,457,339,192,308,4835,798,74,5508,199,5072,635
21_5,2019-10-01,2456,580,0,4,2415,99,151,100,275,2738,280,22,2992,48,2618,422
22_1,2019-10-01,6419,1186,2,83,6157,530,356,247,400,6720,888,80,7463,227,6948,742
18_1,2019-10-01,8201,1686,0,50,7714,947,353,484,439,8548,1264,125,9777,160,9189,748
16_1,2019-10-01,39689,4059,77,1652,35420,6560,1622,2,1873,36694,7918,861,42073,3404,42074,3403
17_1,2019-10-01,2365,909,0,0,2230,291,214,162,377,2717,528,29,3191,83,2685,589
17_2,2019-10-01,7927,1855,12,24,7033,1546,430,100,709,7626,1977,211,9305,513,8718,1100
15_2,2019-10-01,32104,5270,94,43,27869,7205,0,28,2409,29579,6946,978,35033,2478,35218,2293
23_3,2019-10-01,3056,969,0,166,2922,343,284,244,398,3519,632,40,4100,91,3535,656
19_4,2019-10-01,1260,421,0,0,1248,44,176,20,193,1437,226,18,1659,22,1314,367
23_2,2019-10-01,5354,1218,0,1,5178,337,151,418,489,5983,505,85,6438,135,5943,630
19_2,2019-10-01,2666,665,0,21,2541,239,136,208,228,2942,386,24,3269,83,3012,340
19_3,2019-10-01,3050,813,11,1,2939,264,288,73,311,3247,574,54,3752,123,3283,592
15_3,2019-10-01,4776,1643,8,0,4513,547,820,190,357,4966,1383,78,6235,192,5271,1156
20_4,2019-10-01,3327,697,0,6,3150,292,141,201,246,3509,469,52,3916,114,3649,381
14_2,2019-10-01,2692,308,0,0,2660,69,56,97,118,2849,141,10,2935,65,2837,163
20_2,2019-10-01,4152,834,0,0,3982,282,123,358,241,4549,392,45,4829,157,4638,348
14_3,2019-10-01,3096,793,0,0,2997,217,89,283,303,3526,334,29,3825,64,3522,367
17_3,2019-10-01,4206,974,0,4,4013,430,101,296,344,4557,564,63,5051,133,4753,431
14_1,2019-10-01,6878,1349,14,2,6638,477,341,242,545,7289,867,87,8079,164,7377,866
21_7,2019-10-01,2153,578,0,0,2082,117,74,290,168,2509,208,12,2693,38,2494,237
21_3,2019-10-01,2197,529,4,0,2135,118,84,207,186,2486,217,27,2681,49,2472,258
20_3,2019-10-01,2723,534,0,0,2653,119,70,167,248,3023,223,11,3207,50,2942,315
18_2,2019-10-01,3800,689,0,12,3643,274,120,197,267,4029,408,64,4413,88,4134,367
14_4,2019-10-01,3059,493,0,2,3002,128,107,156,161,3289,249,16,3482,72,3297,257
23_1,2019-10-01,7788,1564,0,31,7493,578,256,520,536,8453,859,71,9186,197,8609,774
15_1,2019-10-01,31646,4665,120,29,25527,7617,0,44,3272,28023,7496,935,33786,2674,33305,3155
20_1,2019-10-01,5555,1086,2,37,5186,666,235,277,316,5689,896,95,6442,238,6148,532
20_3,2019-11-01,1533,389,0,0,1489,95,54,106,178,1754,151,17,1873,49,1693,229
15_1,2019-11-01,21086,3326,167,30,16032,4808,0,20,3749,19267,4669,657,22620,1989,20943,3666
14_4,2019-11-01,1744,329,2,0,1720,59,92,94,110,1908,161,6,2039,36,1883,192
16_1,2019-11-01,26996,3008,58,1547,24431,4271,1509,4,1394,25359,5632,616,28828,2781,28769,2840
15_2,2019-11-01,22203,3672,113,57,19717,4404,0,22,1902,21137,4271,629,24079,1966,24213,1832
17_2,2019-11-01,5537,1372,15,51,5064,816,453,175,467,5593,1284,94,6573,402,6091,884
17_1,2019-11-01,2474,687,0,0,2405,135,225,123,273,2766,356,39,3069,92,2669,492
18_1,2019-11-01,5737,908,6,38,5536,396,239,196,322,6030,604,55,6554,135,6153,536
19_4,2019-11-01,977,244,6,0,964,30,97,11,125,1087,139,1,1207,20,1007,220
21_5,2019-11-01,1744,486,0,6,1712,50,119,83,272,2036,181,19,2200,36,1855,381
22_2,2019-11-01,2438,753,0,2,2296,281,260,96,260,2618,513,62,3077,116,2684,509
19_1,2019-11-01,1817,394,0,6,1773,98,99,19,228,2006,194,17,2176,41,1900,317
21_2,2019-11-01,5728,1426,5,2,5443,630,267,258,563,6149,881,131,6891,270,6351,810
23_3,2019-11-01,2625,805,0,161,2555,188,271,190,387,3064,503,24,3472,119,2951,640
20_1,2019-11-01,3058,789,5,27,2842,391,180,150,316,3277,547,55,3717,162,3393,486
22_1,2019-11-01,3905,938,0,75,3727,380,288,143,380,4194,663,61,4796,122,4262,656
23_2,2019-11-01,3227,818,0,2,3126,231,136,233,321,3570,379,98,3935,112,3597,450
18_2,2019-11-01,3554,418,4,5,3492,103,104,79,203,3737,211,33,3914,67,3680,301
21_7,2019-11-01,1858,479,0,0,1816,111,64,199,147,2116,185,36,2274,63,2134,203
14_1,2019-11-01,4140,959,2,1,4021,284,251,153,393,4466,579,57,4951,151,4473,629
17_3,2019-11-01,3381,855,2,0,3265,236,97,292,348,3854,349,35,4118,120,3806,432
14_3,2019-11-01,2168,551,0,0,2119,123,110,130,237,2459,252,8,2643,76,2376,343
19_2,2019-11-01,2261,559,1,22,2179,167,112,133,252,2526,299,18,2798,45,2491,352
21_3,2019-11-01,1832,437,0,8,1803,54,75,168,177,2118,145,14,2207,70,2036,241
14_2,2019-11-01,2284,259,0,0,2262,55,36,53,137,2442,99,2,2477,66,2372,171
20_4,2019-11-01,2174,518,0,6,2048,224,94,138,194,2327,339,32,2618,80,2422,276
15_3,2019-11-01,3470,1429,2,0,3339,316,903,112,231,3635,1227,39,4769,132,3784,1117
19_3,2019-11-01,2564,539,9,4,2471,197,157,35,256,2735,348,33,3001,115,2711,405
23_1,2019-11-01,3792,1090,2,119,3616,371,281,265,470,4267,665,71,4865,138,4271,732
20_2,2019-11-01,2815,487,0,0,2732,154,92,156,168,3033,247,22,3217,85,3050,252
21_2,2019-12-01,4660,1391,41,7,4207,880,206,221,585,4881,1096,118,5816,283,5332,767
19_1,2019-12-01,1129,293,0,4,1054,162,93,8,109,1164,246,16,1404,22,1228,198
22_2,2019-12-01,2295,925,0,4,2100,398,200,245,281,2558,581,85,3114,110,2761,463
21_5,2019-12-01,1442,443,2,4,1374,140,116,45,216,1596,275,20,1835,56,1563,328
22_1,2019-12-01,3226,1162,0,56,2886,628,222,284,422,3529,823,90,4256,188,3812,632
19_4,2019-12-01,752,220,0,0,729,46,82,2,113,826,122,24,952,20,779,193
17_2,2019-12-01,4511,1518,16,132,3691,1400,483,146,457,4177,1840,158,5734,443,5259,918
17_1,2019-12-01,2128,715,0,0,2035,208,173,216,211,2440,375,26,2734,109,2467,376
15_2,2019-12-01,17689,4576,57,99,13734,6766,0,16,1905,14977,6617,817,20356,2065,20617,1804
16_1,2019-12-01,20837,3441,106,1443,17201,5768,1375,0,1483,18055,6949,817,23297,2530,23049,2778
15_1,2019-12-01,18269,4130,94,67,11851,7044,0,23,3642,14826,6909,816,20486,2074,18995,3565
23_3,2019-12-01,1949,692,0,524,1801,329,625,127,283,2155,964,46,3090,75,2269,896
18_1,2019-12-01,4814,1243,0,31,4465,675,232,184,532,5109,893,84,5933,155,5344,744
20_1,2019-12-01,2686,794,22,35,2376,597,149,166,249,2712,719,106,3389,148,3145,392
14_4,2019-12-01,1206,483,4,0,1137,138,71,233,114,1461,210,22,1640,53,1514,179
23_1,2019-12-01,3203,1068,2,188,2961,478,371,229,422,3518,867,76,4332,129,3683,778
18_2,2019-12-01,2638,578,4,6,2518,225,104,167,212,2834,338,54,3123,103,2924,302
20_3,2019-12-01,1363,334,2,0,1291,126,25,96,161,1529,158,12,1637,62,1513,186
21_3,2019-12-01,1411,466,0,4,1371,91,79,178,162,1679,186,14,1824,57,1646,235
21_7,2019-12-01,1107,448,0,0,1041,125,84,167,138,1318,213,24,1507,48,1337,218
23_2,2019-12-01,2409,765,2,2,2266,329,119,177,287,2640,433,101,3048,130,2777,401
17_3,2019-12-01,2708,979,0,12,2564,319,132,376,306,3205,449,45,3509,190,3298,401
14_1,2019-12-01,3490,1224,4,0,3305,450,266,262,435,3922,725,67,4575,143,4033,685
19_2,2019-12-01,1482,468,0,25,1400,182,107,145,141,1676,281,18,1919,56,1733,242
20_2,2019-12-01,2326,557,0,4,2201,212,80,215,179,2563,304,20,2799,88,2634,253
14_2,2019-12-01,1347,321,0,0,1321,95,37,80,135,1516,134,18,1616,52,1500,168
20_4,2019-12-01,1488,509,0,2,1304,311,110,112,162,1552,395,52,1912,87,1733,266
15_3,2019-12-01,2883,1509,2,0,2664,481,851,118,280,3001,1339,54,4213,181,3277,1117
19_3,2019-12-01,1622,487,7,4,1466,258,117,39,240,1701,373,44,2047,73,1771,349
14_3,2019-12-01,1722,671,0,0,1634,228,58,179,294,2047,314,32,2313,80,2062,331
20_4,2020-01-01,1660,613,2,4,1548,210,79,229,213,1943,287,49,2214,65,1995,284
14_2,2020-01-01,1879,389,2,0,1869,40,31,185,145,2183,81,6,2208,62,2100,170
20_2,2020-01-01,2326,624,2,0,2228,178,88,249,209,2674,254,24,2881,71,2666,286
19_2,2020-01-01,1448,635,0,3,1396,111,71,284,224,1882,184,20,2057,29,1801,285
14_3,2020-01-01,1911,744,0,0,1875,99,112,272,297,2409,231,15,2619,36,2258,397
20_3,2020-01-01,1421,475,0,2,1375,101,43,244,135,1739,138,21,1859,39,1724,174
14_1,2020-01-01,3095,1185,2,0,3008,209,275,342,448,3723,526,31,4184,98,3575,707
21_7,2020-01-01,1600,574,2,0,1561,99,113,216,187,1942,210,24,2110,66,1884,292
21_3,2020-01-01,1483,446,0,16,1437,90,99,172,147,1735,184,24,1898,47,1709,236
