dist_code,month,sector,investment in cr,number_of_employees
15_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.64,4
21_3,01-04-2019,Engineering,0.05,3
18_2,01-04-2019,Food Processing,8.9646,73
14_2,01-04-2019,Agro based incl Cold Storages,1.6982,9
23_2,01-04-2019,Textiles,0.8,6
15_2,01-04-2019,Granite and Stone Crushing,0,5
23_3,01-04-2019,Pharmaceuticals and Chemicals,0,75
15_3,01-04-2019,Wood and Leather,0.145,4
19_3,01-04-2019,Beverages,0.06,3
15_1,01-04-2019,Plastic and Rubber,3.59,32
15_1,01-04-2019,"Real Estate,Industrial Parks and IT Buildings",291.7016,14048
19_4,01-04-2019,Agro based incl Cold Storages,0.05,5
19_4,01-04-2019,Food Processing,1.2124,23
22_1,01-04-2019,Agro based incl Cold Storages,0.57,17
22_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",3,25
22_1,01-04-2019,Food Processing,0.2,4
22_1,01-04-2019,Granite and Stone Crushing,4.46,32
22_1,01-04-2019,Paper and Printing,0.4,12
20_1,01-04-2019,Agro based incl Cold Storages,1.475,53
20_1,01-04-2019,Beverages,0.17,4
20_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.24,26
20_1,01-04-2019,Engineering,0.07,4
20_1,01-04-2019,Food Processing,0.6645,20
20_1,01-04-2019,Granite and Stone Crushing,4.7,45
20_1,01-04-2019,Textiles,0.3,6
17_1,01-04-2019,Agro based incl Cold Storages,59.5,800
17_1,01-04-2019,Engineering,1.369,10
17_1,01-04-2019,Solar and Other Renewable Energy,318.25,20
15_1,01-04-2019,Pharmaceuticals and Chemicals,0.9975,7
15_1,01-04-2019,Granite and Stone Crushing,2.53,20
15_1,01-04-2019,Food Processing,0.5456,489
15_1,01-04-2019,Engineering,13.4535,149
19_3,01-04-2019,Food Processing,0.05,2
17_2,01-04-2019,Wood and Leather,0,12
17_2,01-04-2019,Solar and Other Renewable Energy,27.5,75
17_2,01-04-2019,Plastic and Rubber,33.6,0
17_2,01-04-2019,Pharmaceuticals and Chemicals,9.3749,174
17_2,01-04-2019,Granite and Stone Crushing,4.35,41
17_2,01-04-2019,Food Processing,18,250
17_2,01-04-2019,Engineering,3.416,190
17_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",8.3,60
14_4,01-04-2019,Granite and Stone Crushing,1.51,50
22_2,01-04-2019,Paper and Printing,0.2,6
14_5,01-04-2019,Food Processing,0.92,20
22_2,01-04-2019,Beverages,0.06,3
22_2,01-04-2019,Agro based incl Cold Storages,0.165,4
20_2,01-04-2019,Engineering,0.2,2
20_2,01-04-2019,Beverages,0.051,2
20_2,01-04-2019,Agro based incl Cold Storages,0.17,6
21_6,01-04-2019,Food Processing,2,25
15_1,01-04-2019,Agro based incl Cold Storages,0.55,5
15_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.8025,41
22_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,6
23_3,01-04-2019,Plastic and Rubber,0.23,5
19_1,01-04-2019,Food Processing,0.098,7
21_2,01-04-2019,Textiles,1.4239,16
18_1,01-04-2019,Pharmaceuticals and Chemicals,0.3,8
14_1,01-04-2019,Paper and Printing,14.4,305
21_2,01-04-2019,Food Processing,0.02,2
18_1,01-04-2019,Agro based incl Cold Storages,0.2,12
21_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6,16
21_2,01-04-2019,Agro based incl Cold Storages,0.1,0
18_1,01-04-2019,Engineering,0.06,4
21_2,01-04-2019,Engineering,0.22,0
17_3,01-04-2019,Food Processing,3.29,30
21_2,01-04-2019,Granite and Stone Crushing,0.6,10
19_4,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,4
15_3,01-05-2019,Others,2.0646,12
15_2,01-05-2019,Plastic and Rubber,4.822,46
15_3,01-05-2019,Granite and Stone Crushing,3.2832,29
15_3,01-05-2019,Food Processing,0.015,2
21_6,01-05-2019,Engineering,0.095,5
21_6,01-05-2019,Beverages,0.07,2
21_2,01-05-2019,Food Processing,4.4,102
21_2,01-05-2019,Granite and Stone Crushing,0.25,10
21_2,01-05-2019,Plastic and Rubber,0.1085,4
15_1,01-05-2019,Granite and Stone Crushing,1.1845,26
15_1,01-05-2019,Food Processing,27,316
15_2,01-05-2019,Pharmaceuticals and Chemicals,14.3966,176
15_2,01-05-2019,Food Processing,6.7715,337
15_2,01-05-2019,Others,1,100
15_2,01-05-2019,Engineering,63.6156,843
15_1,01-05-2019,Engineering,0,250
14_3,01-05-2019,Food Processing,0.63,8
15_1,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.63,7
15_1,01-05-2019,Beverages,1.3,50
19_2,01-05-2019,Agro based incl Cold Storages,0.24,20
15_2,01-05-2019,Electrical and Electronic Products,6.5559,67
21_2,01-05-2019,Textiles,9.5,200
20_2,01-05-2019,Granite and Stone Crushing,1.2444,25
15_2,01-05-2019,Agro based incl Cold Storages,0.24,12
20_2,01-05-2019,Food Processing,11.6225,154
20_2,01-05-2019,Engineering,0.16,5
19_2,01-05-2019,Food Processing,0,2
15_2,01-05-2019,Paper and Printing,4.68,24
15_1,01-05-2019,Plastic and Rubber,11.3063,58
15_1,01-05-2019,Textiles,2.63,100
15_3,01-05-2019,Pharmaceuticals and Chemicals,0.145,6
22_1,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,10
22_1,01-05-2019,Engineering,0.39,7
21_2,01-05-2019,Agro based incl Cold Storages,0.2,6
21_2,01-05-2019,Engineering,0.02,2
21_3,01-05-2019,Agro based incl Cold Storages,0.47,10
21_3,01-05-2019,Beverages,0.07,2
22_1,01-05-2019,Agro based incl Cold Storages,0.145,5
21_3,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.12,12
22_1,01-05-2019,Granite and Stone Crushing,4.0194,76
21_3,01-05-2019,Food Processing,0.755,50
21_3,01-05-2019,Granite and Stone Crushing,1.0208,10
22_1,01-05-2019,Plastic and Rubber,0.2,9
17_1,01-05-2019,Pharmaceuticals and Chemicals,0.35,6
17_1,01-05-2019,Plastic and Rubber,3.9153,12
20_1,01-05-2019,Granite and Stone Crushing,3.131,30
18_2,01-05-2019,Food Processing,5.33,43
23_1,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.835,20
23_1,01-05-2019,Food Processing,0.772,10
15_2,01-05-2019,R&D,0.352,10
19_2,01-05-2019,Textiles,0.17,10
20_1,01-05-2019,Agro based incl Cold Storages,1.585,34
20_1,01-05-2019,Beverages,0.25,6
20_1,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.35,14
15_3,01-05-2019,Solar and Other Renewable Energy,0.056,1
15_2,01-05-2019,"Real Estate,Industrial Parks and IT Buildings",55.5,300
15_2,01-05-2019,Textiles,0.15,8
15_2,01-05-2019,Wood and Leather,2.188,52
20_1,01-05-2019,Engineering,0.03,2
21_7,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.414,18
20_1,01-05-2019,Food Processing,0.6905,24
18_2,01-05-2019,Agro based incl Cold Storages,0.2,5
17_1,01-05-2019,Engineering,4.3902,35
20_1,01-05-2019,Textiles,0.2491,4
15_1,01-05-2019,"Real Estate,Industrial Parks and IT Buildings",847.817,40250
21_5,01-05-2019,Agro based incl Cold Storages,0.275,9
17_1,01-05-2019,Food Processing,0.25,16
21_5,01-05-2019,Engineering,0.035,5
21_5,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,15
18_1,01-05-2019,Engineering,0.021,3
18_1,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1575,4
14_1,01-05-2019,Pharmaceuticals and Chemicals,66.9,190
14_1,01-05-2019,Granite and Stone Crushing,0,1000
14_1,01-05-2019,Food Processing,3.78,90
14_1,01-05-2019,Electrical and Electronic Products,10.67,30
18_1,01-05-2019,Beverages,0.22,2
17_2,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.692,40
17_3,01-05-2019,R&D,4.8,40
17_3,01-05-2019,Granite and Stone Crushing,0.2,11
20_4,01-05-2019,Granite and Stone Crushing,0.9284,18
23_3,01-05-2019,Engineering,1.864,15
17_2,01-05-2019,Granite and Stone Crushing,0.04,6
17_2,01-05-2019,Others,57.81,45
17_2,01-05-2019,Paper and Printing,0.43,8
17_2,01-05-2019,Pharmaceuticals and Chemicals,30.8268,1033
17_2,01-05-2019,Plastic and Rubber,0.24,0
17_2,01-05-2019,R&D,0.3,10
17_2,01-05-2019,Wood and Leather,0.75,10
23_3,01-05-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.11,5
23_3,01-05-2019,Textiles,0.44,22
17_3,01-05-2019,Food Processing,35.21,120
17_3,01-05-2019,Agro based incl Cold Storages,0.8362,58
17_2,01-05-2019,Engineering,60.3915,895
18_1,01-05-2019,Others,0.515,8
18_1,01-05-2019,Food Processing,0.02,9
20_2,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.906,22
20_2,01-05-2019,Beverages,0.29,14
19_3,01-05-2019,Food Processing,0.7104,17
20_4,01-05-2019,Agro based incl Cold Storages,0.6925,19
20_4,01-05-2019,Beverages,0.1987,4
20_4,01-05-2019,Engineering,0.055,2
21_5,01-05-2019,Textiles,0.11,5
21_5,01-05-2019,Pharmaceuticals and Chemicals,0.0275,5
21_5,01-05-2019,Granite and Stone Crushing,0.52,15
20_3,01-05-2019,Textiles,0.46,23
23_2,01-05-2019,Pharmaceuticals and Chemicals,15.5,0
19_3,01-05-2019,Agro based incl Cold Storages,1,45
22_2,01-05-2019,Paper and Printing,0.45,10
20_3,01-05-2019,Granite and Stone Crushing,1.25,46
20_3,01-05-2019,Food Processing,0.14,5
20_3,01-05-2019,Agro based incl Cold Storages,0.44,18
20_3,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.21,8
22_2,01-05-2019,Beverages,0.08,4
20_2,01-05-2019,Agro based incl Cold Storages,1.141,14
22_2,01-05-2019,Food Processing,0.08,6
20_2,01-06-2019,Agro based incl Cold Storages,0.5815,10
15_3,01-06-2019,Granite and Stone Crushing,0.2308,15
19_3,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,9
23_3,01-06-2019,Food Processing,3.608,10
23_3,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.92,25
19_2,01-06-2019,Food Processing,1.2,15
19_2,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0,15
21_5,01-06-2019,Wood and Leather,0.03,5
21_5,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.035,10
15_2,01-06-2019,Granite and Stone Crushing,1.1,6
19_3,01-06-2019,Engineering,0.19,5
20_2,01-06-2019,Beverages,0.165,6
21_6,01-06-2019,Food Processing,0.868,10
21_2,01-06-2019,Food Processing,0.05,2
15_1,01-06-2019,Textiles,0.235,0
15_1,01-06-2019,"Real Estate,Industrial Parks and IT Buildings",270,1410
15_1,01-06-2019,Plastic and Rubber,0.3545,8
15_1,01-06-2019,Others,0.7076,20
22_2,01-06-2019,Others,1.4197,0
22_2,01-06-2019,Food Processing,0.07,6
22_2,01-06-2019,Agro based incl Cold Storages,0.26,7
21_2,01-06-2019,Wood and Leather,0.5,10
15_1,01-06-2019,Food Processing,0.24,50
21_2,01-06-2019,Engineering,0.1415,4
14_4,01-06-2019,Food Processing,1.7,17
15_1,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.65,20
20_2,01-06-2019,Granite and Stone Crushing,0.245,12
20_2,01-06-2019,Textiles,0.23,8
23_3,01-06-2019,Wood and Leather,0.3,20
15_1,01-06-2019,Agro based incl Cold Storages,4.05,33
21_2,01-06-2019,Textiles,8.55,180
23_3,01-06-2019,Paper and Printing,0.15,20
20_2,01-06-2019,Engineering,0.07,4
21_7,01-06-2019,Food Processing,0.8758,19
15_1,01-06-2019,Engineering,1.2765,35
21_2,01-06-2019,Granite and Stone Crushing,3.01,23
21_5,01-06-2019,Agro based incl Cold Storages,0.035,5
22_1,01-06-2019,Engineering,0.28,6
20_4,01-06-2019,Agro based incl Cold Storages,0.676,4
20_4,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.21,8
20_4,01-06-2019,Engineering,0.057,4
20_4,01-06-2019,Others,316.759,28
22_1,01-06-2019,Agro based incl Cold Storages,0.8588,16
22_1,01-06-2019,Beverages,7.7049,0
22_1,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,5
17_3,01-06-2019,Wood and Leather,1.4711,50
22_1,01-06-2019,Food Processing,0.1275,5
22_1,01-06-2019,Granite and Stone Crushing,0.6,9
20_3,01-06-2019,Textiles,0.25,10
20_3,01-06-2019,Engineering,0.31,10
23_2,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",390,100
20_3,01-06-2019,Agro based incl Cold Storages,0.695,28
22_1,01-06-2019,Others,1.29,15
22_1,01-06-2019,Paper and Printing,2.03,10
17_1,01-06-2019,Food Processing,2,50
15_2,01-06-2019,Agro based incl Cold Storages,4.7188,15
15_2,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8048,35
15_2,01-06-2019,Wood and Leather,0.25,6
15_2,01-06-2019,R&D,1.9,20
14_1,01-06-2019,Pharmaceuticals and Chemicals,0.2475,8
14_1,01-06-2019,Plastic and Rubber,90.5231,200
18_1,01-06-2019,Agro based incl Cold Storages,0.18,2
18_1,01-06-2019,Engineering,0.3877,13
18_1,01-06-2019,Food Processing,0.03,1
18_1,01-06-2019,Paper and Printing,0.25,16
18_1,01-06-2019,Wood and Leather,0.03,2
15_2,01-06-2019,Paper and Printing,0.25,4
20_1,01-06-2019,Granite and Stone Crushing,3.4,82
15_2,01-06-2019,Pharmaceuticals and Chemicals,6.9074,79
15_2,01-06-2019,Food Processing,0.13,13
15_2,01-06-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.25,10
15_2,01-06-2019,Engineering,7.5668,146
15_2,01-06-2019,Electrical and Electronic Products,4.8646,186
20_1,01-06-2019,Agro based incl Cold Storages,0.5718,10
20_1,01-06-2019,Beverages,0.64,15
20_1,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.68,26
20_1,01-06-2019,Food Processing,0.832,23
15_2,01-06-2019,Plastic and Rubber,4.9015,108
17_2,01-06-2019,Wood and Leather,1.1,50
21_2,01-06-2019,Agro based incl Cold Storages,0.855,21
17_2,01-06-2019,Plastic and Rubber,4.04,445
18_2,01-06-2019,Agro based incl Cold Storages,0.18,6
17_2,01-06-2019,R&D,159.191,904
17_3,01-06-2019,Agro based incl Cold Storages,0.25,3
17_3,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.42,20
20_1,01-06-2019,Wood and Leather,0.245,6
19_4,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6
14_2,01-06-2019,Plastic and Rubber,0.2885,8
17_3,01-06-2019,Food Processing,0.75,12
21_2,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.77,24
21_3,01-06-2019,Agro based incl Cold Storages,0.31,9
21_3,01-06-2019,Beverages,0.11,7
23_1,01-06-2019,Granite and Stone Crushing,0.8,10
23_1,01-06-2019,Food Processing,1.367,23
23_1,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.292,9
17_3,01-06-2019,Textiles,0.991,15
14_2,01-06-2019,Food Processing,0.677,16
18_2,01-06-2019,Engineering,0.25,4
17_2,01-06-2019,Paper and Printing,2.7,30
14_2,01-06-2019,Engineering,0.1385,8
20_1,01-06-2019,Pharmaceuticals and Chemicals,0.2422,8
17_2,01-06-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.5,20
17_2,01-06-2019,Engineering,11.768,683
17_2,01-06-2019,Electrical and Electronic Products,15.3098,150
17_2,01-06-2019,Food Processing,0.181,18
17_2,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",11.5417,66
17_2,01-06-2019,Pharmaceuticals and Chemicals,1.09,122
17_2,01-06-2019,Beverages,0.94,100
15_1,01-07-2019,Beverages,5.91,47
20_1,01-07-2019,Paper and Printing,0.245,8
15_1,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",213.904,147
15_1,01-07-2019,Engineering,3.5,50
17_1,01-07-2019,Pharmaceuticals and Chemicals,0.05,0
17_1,01-07-2019,Others,12.5,100
21_2,01-07-2019,Textiles,26.6,560
21_2,01-07-2019,Plastic and Rubber,1.9,20
20_1,01-07-2019,Agro based incl Cold Storages,2.3985,41
20_1,01-07-2019,Beverages,0.3,12
20_1,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,6
20_2,01-07-2019,Agro based incl Cold Storages,0.27,7
20_2,01-07-2019,Beverages,0.24,14
21_2,01-07-2019,Food Processing,0.32,4
21_2,01-07-2019,Engineering,0.27,6
20_1,01-07-2019,Engineering,0.08,6
21_7,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4
15_1,01-07-2019,Agro based incl Cold Storages,0.82,70
20_1,01-07-2019,Plastic and Rubber,0.2,10
20_1,01-07-2019,Pharmaceuticals and Chemicals,0.075,2
17_1,01-07-2019,Agro based incl Cold Storages,0.2482,4
22_1,01-07-2019,Textiles,0.15,4
15_1,01-07-2019,Food Processing,0.24,20
15_1,01-07-2019,Granite and Stone Crushing,2.09,60
17_3,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.516,39
22_1,01-07-2019,Others,238.33,70
22_1,01-07-2019,Granite and Stone Crushing,4.2474,62
15_1,01-07-2019,Others,13,530
15_1,01-07-2019,Plastic and Rubber,29.1296,58
22_1,01-07-2019,Food Processing,1.045,6
22_1,01-07-2019,Beverages,1.206,8
17_3,01-07-2019,Food Processing,98.3458,712
22_1,01-07-2019,Agro based incl Cold Storages,1.265,22
17_3,01-07-2019,Others,3.13,25
17_3,01-07-2019,Agro based incl Cold Storages,0.9835,21
15_1,01-07-2019,"Real Estate,Industrial Parks and IT Buildings",975,25500
21_6,01-07-2019,Food Processing,1.1,6
20_1,01-07-2019,Wood and Leather,0.24,8
15_1,01-07-2019,Wood and Leather,0.95,40
19_4,01-07-2019,Food Processing,0.9795,20
21_2,01-07-2019,Agro based incl Cold Storages,0.3225,4
18_1,01-07-2019,Agro based incl Cold Storages,0.05,4
20_2,01-07-2019,Engineering,0.05,2
17_2,01-07-2019,Plastic and Rubber,11.123,130
21_3,01-07-2019,Agro based incl Cold Storages,0.866,9
21_3,01-07-2019,Food Processing,0.8084,10
17_2,01-07-2019,Pharmaceuticals and Chemicals,9.1,200
17_2,01-07-2019,Granite and Stone Crushing,13.1999,70
21_3,01-07-2019,Textiles,0.03,4
19_3,01-07-2019,Food Processing,0.475,15
20_3,01-07-2019,Wood and Leather,0.085,12
17_2,01-07-2019,Electrical and Electronic Products,7.9868,200
17_2,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6,10
17_2,01-07-2019,Agro based incl Cold Storages,0.421,21
20_3,01-07-2019,Textiles,0.815,60
20_3,01-07-2019,Plastic and Rubber,0.25,12
20_3,01-07-2019,Pharmaceuticals and Chemicals,0.25,12
20_3,01-07-2019,Food Processing,2.9784,18
20_3,01-07-2019,Engineering,0.15,8
20_3,01-07-2019,Agro based incl Cold Storages,1.705,68
20_1,01-07-2019,Food Processing,0.4532,20
19_1,01-07-2019,Beverages,0.13,3
17_2,01-07-2019,R&D,0.25,30
17_2,01-07-2019,Textiles,0.6307,14
18_2,01-07-2019,Wood and Leather,0.07,1
18_2,01-07-2019,Food Processing,7,30
18_1,01-07-2019,Beverages,0.1928,5
18_1,01-07-2019,Engineering,0.027,2
18_1,01-07-2019,Food Processing,0.515,14
18_1,01-07-2019,Plastic and Rubber,1.55,5
20_4,01-07-2019,Agro based incl Cold Storages,0.13,8
20_4,01-07-2019,Beverages,0.25,12
20_4,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",5.9708,29
20_4,01-07-2019,Granite and Stone Crushing,1.39,10
14_1,01-07-2019,R&D,135,150
23_1,01-07-2019,Pharmaceuticals and Chemicals,0.95,50
14_1,01-07-2019,Plastic and Rubber,0.6819,10
23_3,01-07-2019,Engineering,0.2,5
23_3,01-07-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",4.5,40
23_2,01-07-2019,Textiles,0.84,6
23_2,01-07-2019,Food Processing,0.25,6
23_2,01-07-2019,Engineering,0.4016,6
23_2,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.35,9
23_3,01-07-2019,Granite and Stone Crushing,0,13
18_2,01-07-2019,Agro based incl Cold Storages,0.1,6
18_2,01-07-2019,Engineering,0.02,3
14_1,01-07-2019,Agro based incl Cold Storages,0,10
23_1,01-07-2019,Food Processing,0.83,35
17_2,01-07-2019,Engineering,3.5861,388
19_1,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.73,10
15_2,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.7297,52
21_5,01-07-2019,Beverages,0.11,2
21_5,01-07-2019,Food Processing,0.5384,20
15_2,01-07-2019,Beverages,0.2,8
15_2,01-07-2019,Agro based incl Cold Storages,1.58,5
14_4,01-07-2019,Beverages,0.12,800
15_2,01-07-2019,Electrical and Electronic Products,0.59,15
23_1,01-07-2019,Agro based incl Cold Storages,3.0252,30
22_2,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.26,20
20_2,01-07-2019,Paper and Printing,0.25,12
20_2,01-07-2019,Granite and Stone Crushing,0.22,6
19_3,01-07-2019,Beverages,0.12,4
20_2,01-07-2019,Food Processing,0.19,4
19_3,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,5
22_2,01-07-2019,Food Processing,0.03,2
15_2,01-07-2019,Engineering,27.7314,324
20_1,01-07-2019,Granite and Stone Crushing,4.8554,87
15_2,01-07-2019,Paper and Printing,0.875,19
15_2,01-07-2019,Textiles,0.4625,10
14_3,01-07-2019,Food Processing,0.24,12
15_2,01-07-2019,R&D,96.0116,172
15_2,01-07-2019,Plastic and Rubber,117.3126,215
19_2,01-07-2019,Engineering,0,5
19_2,01-07-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0,8
15_2,01-07-2019,Food Processing,14.55,80
19_1,01-07-2019,Food Processing,0.036,0
15_2,01-07-2019,Pharmaceuticals and Chemicals,196.556,476
15_2,01-07-2019,Solar and Other Renewable Energy,1.66,18
22_1,01-08-2019,Pharmaceuticals and Chemicals,0.15,2
21_2,01-08-2019,Engineering,0.0823,10
15_2,01-08-2019,Engineering,15.4245,761
21_2,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,0
22_1,01-08-2019,Wood and Leather,0.09,4
15_2,01-08-2019,Electrical and Electronic Products,5.3462,35
21_2,01-08-2019,Granite and Stone Crushing,2.9655,19
21_2,01-08-2019,Textiles,1.9,40
21_2,01-08-2019,Food Processing,1.485,14
15_2,01-08-2019,Paper and Printing,12.79,70
15_2,01-08-2019,Granite and Stone Crushing,5,20
15_2,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,34
15_2,01-08-2019,Pharmaceuticals and Chemicals,15.05,105
15_2,01-08-2019,Plastic and Rubber,8.6432,47
15_2,01-08-2019,R&D,4.02,90
17_1,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.95,12
17_1,01-08-2019,Food Processing,4.9,50
17_1,01-08-2019,Plastic and Rubber,11.5859,280
15_2,01-08-2019,Wood and Leather,3.3836,143
20_2,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.317,17
20_2,01-08-2019,Engineering,0.02,2
20_2,01-08-2019,Food Processing,8.5172,75
20_2,01-08-2019,Granite and Stone Crushing,0.07,2
15_2,01-08-2019,Food Processing,0.57,30
15_2,01-08-2019,Agro based incl Cold Storages,20.1125,15
20_3,01-08-2019,Pharmaceuticals and Chemicals,0.25,12
20_4,01-08-2019,Agro based incl Cold Storages,0.19,4
21_6,01-08-2019,Engineering,0.12,6
16_1,01-08-2019,Engineering,0.25,44
21_6,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,14
21_5,01-08-2019,Agro based incl Cold Storages,0.07,5
21_5,01-08-2019,Textiles,0.017,4
21_5,01-08-2019,Wood and Leather,0.035,5
15_3,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4
15_3,01-08-2019,Food Processing,0.0515,5
22_1,01-08-2019,Agro based incl Cold Storages,5.1464,62
22_1,01-08-2019,Food Processing,0.45,20
22_1,01-08-2019,Granite and Stone Crushing,3.5702,78
15_3,01-08-2019,Granite and Stone Crushing,0.17,5
15_3,01-08-2019,Solar and Other Renewable Energy,0.2683,10
21_3,01-08-2019,Paper and Printing,0.15,6
21_3,01-08-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,5
21_3,01-08-2019,Agro based incl Cold Storages,0.88,28
20_3,01-08-2019,Agro based incl Cold Storages,0.75,42
20_3,01-08-2019,Food Processing,0.1075,15
20_3,01-08-2019,Textiles,0.25,15
21_2,01-08-2019,Agro based incl Cold Storages,0.25,13
