dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev
14_4,2020-05-01,1741,10955503,0,0
20_4,2020-05-01,1247,25274662,0,0
14_2,2020-05-01,934,6993685,0,0
19_2,2020-05-01,966,10058350,0,0
15_1,2020-05-01,8235,696376142,0,0
16_1,2020-05-01,1467,195808943,0,0
14_3,2020-05-01,2547,14824532,0,0
19_1,2020-05-01,858,11400504,0,0
21_2,2020-05-01,871,11619406,0,0
23_1,2020-05-01,5459,57559583,0,0
15_3,2020-05-01,1202,11190357,0,0
21_6,2020-05-01,477,4936481,0,0
14_1,2020-05-01,2566,25446164,0,0
15_2,2020-05-01,5297,364890605,0,0
19_3,2020-05-01,986,16969358,0,0
18_2,2020-05-01,2778,18287063,0,0
20_1,2020-05-01,2213,43473995,0,0
21_5,2020-05-01,1150,12109639,0,0
21_1,2020-05-01,3197,103593555,0,0
17_2,2020-06-01,7891,231403341,0,0
22_2,2020-06-01,1158,21166606,0,0
15_1,2020-06-01,17301,1340168790,0,0
20_2,2020-06-01,2861,37040260,0,0
14_2,2020-06-01,2794,18409579,0,0
17_3,2020-06-01,5158,36195705,0,0
20_1,2020-06-01,4298,74922095,0,0
21_1,2020-06-01,5563,136723925,0,0
20_4,2020-06-01,2041,33122565,0,0
14_4,2020-06-01,3460,20685876,0,0
19_2,2020-06-01,2350,23977844,0,0
21_6,2020-06-01,1203,10071357,0,0
15_3,2020-06-01,2492,21296590,0,0
19_1,2020-06-01,1655,19995210,0,0
23_1,2020-06-01,9957,93225717,0,0
21_5,2020-06-01,2301,25384475,0,0
19_3,2020-06-01,2034,25828201,0,0
23_2,2020-06-01,4299,48314427,0,0
22_1,2020-06-01,6145,100011083,0,0
18_2,2020-06-01,4260,30195941,0,0
16_1,2020-06-01,3736,474294053,0,0
14_1,2020-06-01,4493,56964703,0,0
14_3,2020-06-01,4748,26260334,0,0
15_2,2020-06-01,9528,795974924,0,0
17_1,2020-06-01,3071,23888811,0,0
14_5,2020-06-01,1880,13632959,0,0
21_3,2020-06-01,2669,24731636,0,0
23_3,2020-06-01,6348,100788159,0,0
20_3,2020-06-01,2484,23699624,0,0
19_4,2020-06-01,686,6728775,0,0
21_2,2020-06-01,1668,20612845,0,0
18_1,2020-06-01,5664,65634582,0,0
21_3,2020-07-01,2626,24846073,0,0
19_2,2020-07-01,2401,19753266,0,0
20_1,2020-07-01,3589,56763680,0,0
20_2,2020-07-01,2287,31524458,0,0
18_1,2020-07-01,4970,62997902,0,0
23_1,2020-07-01,8091,200034404,0,0
14_2,2020-07-01,2691,17486266,0,0
22_1,2020-07-01,7769,81707214,0,0
21_6,2020-07-01,1014,8359419,0,0
14_5,2020-07-01,2482,17181168,0,0
23_3,2020-07-01,6403,81409172,0,0
19_3,2020-07-01,1974,28755915,0,0
15_1,2020-07-01,15985,1145364702,0,0
19_4,2020-07-01,606,5562265,0,0
17_3,2020-07-01,5047,43355386,0,0
18_2,2020-07-01,3520,24758355,0,0
14_3,2020-07-01,4192,21883871,0,0
19_1,2020-07-01,1519,17391525,0,0
21_2,2020-07-01,1553,19450450,0,0
14_4,2020-07-01,2421,14314199,0,0
17_2,2020-07-01,7812,267403842,0,0
20_3,2020-07-01,2264,19409973,0,0
17_1,2020-07-01,3219,27351650,0,0
22_2,2020-07-01,1050,12263135,0,0
15_2,2020-07-01,8779,779130964,0,0
23_2,2020-07-01,4253,45734277,0,0
21_5,2020-07-01,2127,21774457,0,0
20_4,2020-07-01,2008,43776827,0,0
14_1,2020-07-01,3696,47677705,0,0
16_1,2020-07-01,3586,444890171,0,0
15_3,2020-07-01,2065,18569435,0,0
21_1,2020-07-01,4673,140883295,0,0
21_5,2020-08-01,1368,14192658,0,0
15_3,2020-08-01,2101,20456003,0,0
23_2,2020-08-01,2927,37165592,0,0
19_4,2020-08-01,323,4543905,0,0
20_4,2020-08-01,1587,24123858,0,0
18_2,2020-08-01,2645,19678104,0,0
22_1,2020-08-01,5690,56367917,0,0
20_3,2020-08-01,2138,17423399,0,0
17_1,2020-08-01,1743,14686219,0,0
19_2,2020-08-01,1642,15773984,0,0
15_2,2020-08-01,8852,748218717,0,0
15_1,2020-08-01,15826,1466457963,0,0
21_6,2020-08-01,554,5236969,0,0
14_3,2020-08-01,3523,20052643,0,0
20_1,2020-08-01,3544,61381830,0,0
21_3,2020-08-01,1943,20663415,0,0
14_2,2020-08-01,2045,17556449,0,0
18_1,2020-08-01,5299,66790432,0,0
23_1,2020-08-01,5610,106279664,0,0
14_1,2020-08-01,2895,41587078,0,0
23_3,2020-08-01,4865,78393418,0,0
14_5,2020-08-01,1843,9868395,0,0
22_2,2020-08-01,505,10083170,0,0
21_1,2020-08-01,3586,100402366,0,0
14_4,2020-08-01,2953,17381103,0,0
19_3,2020-08-01,1541,24322890,0,0
17_3,2020-08-01,3122,27329996,0,0
20_2,2020-08-01,1678,19612368,0,0
21_2,2020-08-01,1135,13378751,0,0
16_1,2020-08-01,3380,448254114,0,0
17_2,2020-08-01,6556,271109530,0,0
19_1,2020-08-01,1050,15949571,0,0
16_1,2020-09-01,743,89569247,0,0
18_2,2020-09-01,870,4818945,0,0
19_3,2020-09-01,323,7613005,0,0
21_2,2020-09-01,279,2818601,0,0
15_2,2020-09-01,1492,159247135,0,0
19_2,2020-09-01,283,2307720,0,0
23_3,2020-09-01,734,14760342,0,0
19_4,2020-09-01,59,471595,0,0
20_4,2020-09-01,442,5707537,0,0
22_2,2020-09-01,412,4692187,0,0
15_3,2020-09-01,388,3980640,0,0
21_5,2020-09-01,284,3757007,0,0
14_3,2020-09-01,598,2473585,0,0
14_1,2020-09-01,545,5525051,0,0
22_1,2020-09-01,1233,18346350,0,0
14_4,2020-09-01,404,1399025,0,0
18_1,2020-09-01,1398,12833431,0,0
21_1,2020-09-01,895,23888325,0,0
19_1,2020-09-01,210,3107344,0,0
20_3,2020-09-01,410,3532090,0,0
17_3,2020-09-01,940,5839828,0,0
17_2,2020-09-01,1410,86920303,0,0
21_3,2020-09-01,476,4925129,0,0
21_6,2020-09-01,389,1957570,0,0
20_2,2020-09-01,739,6131140,0,0
23_2,2020-09-01,738,8754881,0,0
17_1,2020-09-01,377,3690710,0,0
15_1,2020-09-01,3140,378347267,0,0
14_2,2020-09-01,350,3198273,0,0
23_1,2020-09-01,1281,13842466,0,0
20_1,2020-09-01,839,16567580,0,0
14_5,2020-09-01,574,3192380,0,0
23_1,2020-10-01,8,8800,0,0
20_3,2020-10-01,4,4400,0,0
20_4,2020-10-01,0,0,0,0
15_1,2020-10-01,77,84800,0,0
21_2,2020-10-01,1,1100,0,0
14_3,2020-10-01,0,0,0,0
18_1,2020-10-01,5,5500,0,0
18_2,2020-10-01,2,2200,0,0
22_2,2020-10-01,19,20900,0,0
21_5,2020-10-01,0,0,0,0
14_2,2020-10-01,1,1100,0,0
21_3,2020-10-01,0,0,0,0
16_1,2020-10-01,189,215210,0,0
21_1,2020-10-01,23,25440,0,0
23_3,2020-10-01,1,1100,0,0
20_1,2020-10-01,13,15400,0,0
19_3,2020-10-01,3,3060,0,0
17_3,2020-10-01,4,4400,0,0
17_1,2020-10-01,0,0,0,0
23_2,2020-10-01,5,5500,0,0
21_6,2020-10-01,0,0,0,0
14_4,2020-10-01,1,1105,0,0
14_5,2020-10-01,0,0,0,0
15_2,2020-10-01,73,80300,0,0
19_4,2020-10-01,0,0,0,0
17_2,2020-10-01,5,5700,0,0
22_1,2020-10-01,26,29700,0,0
19_2,2020-10-01,0,0,0,0
19_1,2020-10-01,2,2200,0,0
15_3,2020-10-01,3,3300,0,0
20_2,2020-10-01,11,12100,0,0
14_1,2020-10-01,4,4400,0,0
21_5,2020-11-01,0,0,0,0
15_1,2020-11-01,30,33000,0,0
20_2,2020-11-01,5,7500,0,0
21_1,2020-11-01,17,18700,0,0
21_2,2020-11-01,0,0,0,0
22_1,2020-11-01,13,15300,0,0
17_2,2020-11-01,3,3300,0,0
14_2,2020-11-01,1,1100,0,0
14_3,2020-11-01,0,0,0,0
18_2,2020-11-01,2,2200,0,0
15_2,2020-11-01,70,77000,0,0
15_3,2020-11-01,4,4520,0,0
19_2,2020-11-01,0,0,0,0
20_4,2020-11-01,2,2200,0,0
20_1,2020-11-01,8,8800,0,0
14_4,2020-11-01,0,0,0,0
19_1,2020-11-01,1,1100,0,0
23_2,2020-11-01,5,5505,0,0
19_3,2020-11-01,2,3040,0,0
21_6,2020-11-01,0,0,0,0
14_5,2020-11-01,0,0,0,0
22_2,2020-11-01,10,12000,0,0
18_1,2020-11-01,8,8800,0,0
17_3,2020-11-01,3,3200,0,0
23_3,2020-11-01,0,0,0,0
14_1,2020-11-01,3,6460,0,0
23_1,2020-11-01,0,0,0,0
16_1,2020-11-01,88,100800,0,0
19_4,2020-11-01,0,0,0,0
17_1,2020-11-01,0,0,0,0
20_3,2020-11-01,2,2200,0,0
21_3,2020-11-01,0,0,0,0
20_2,2020-12-01,344,7789379,416,9773232
21_1,2020-12-01,1775,101218608,2174,126286106
14_4,2020-12-01,428,9554012,457,9579862
